Date,Open,High,Low,Close,Adj Close,Volume
21-01-2022,11.55,11.618,11.332,11.478,11.236155,12526702
24-01-2022,11.406,11.478,10.702,10.76,10.533283,16753223
25-01-2022,10.94,11.086,10.764,11.074,10.840667,12594659
26-01-2022,11.206,11.54,11.196,11.42,11.179377,12466641
27-01-2022,11.45,12.116,11.394,11.92,11.668841,20304574
28-01-2022,12.04,12.04,11.816,11.912,11.66101,14747257
31-01-2022,12.15,12.41,12.052,12.254,11.995804,15872843
01-02-2022,12.424,12.688,12.31,12.636,12.369755,14939739
02-02-2022,12.71,12.908,12.608,12.64,12.373671,13386633
03-02-2022,12.642,13.374,12.632,13.26,12.980607,25079467
04-02-2022,13.386,13.656,13.306,13.578,13.291906,21303671
07-02-2022,13.77,13.78,13.326,13.698,13.409378,16298114
08-02-2022,13.784,14.428,13.766,14.374,14.071135,19853075
09-02-2022,14.25,14.446,14.052,14.41,14.106376,21499326
10-02-2022,14.356,14.636,14.334,14.462,14.15728,16980055
11-02-2022,14.302,14.558,14.112,14.398,14.094628,16205921
14-02-2022,13.818,14.02,13.458,13.896,13.603207,22979062
15-02-2022,13.804,14.11,13.78,14.018,13.722635,13342424
16-02-2022,14.08,14.154,13.734,13.884,13.591459,12364044
17-02-2022,13.926,13.952,13.606,13.69,13.401546,12682200
18-02-2022,13.7,13.772,13.486,13.564,13.278202,13131951
21-02-2022,13.7,13.908,13.168,13.298,13.017807,12280034
22-02-2022,12.758,13.366,12.51,13.204,12.925787,20094487
23-02-2022,13.308,13.34,12.796,12.874,12.602739,15793934
24-02-2022,11.93,12.344,11.246,11.26,11.022748,44158996
25-02-2022,11.63,12.074,11.022,11.878,11.627727,31405810
28-02-2022,11.214,11.306,10.692,11.26,11.022748,29188148
01-03-2022,11.17,11.35,10.408,10.408,10.1887,27994686
02-03-2022,10.162,10.522,9.912,10.388,10.169121,26810629
03-03-2022,10.486,10.536,10.042,10.102,9.889148,20150401
04-03-2022,9.925,9.925,9.148,9.148,8.955248,35713032
07-03-2022,8.691,9.214,8.163,8.895,8.70758,36011795
08-03-2022,8.711,9.629,8.653,9.119,8.92686,30052317
09-03-2022,9.737,9.845,9.436,9.806,9.599383,27148730
10-03-2022,9.872,9.968,9.324,9.74,9.534775,35128906
11-03-2022,9.896,10.05,9.521,9.591,9.388914,22804222
14-03-2022,9.797,10.458,9.719,10.356,10.137795,28407010
15-03-2022,10.09,10.484,9.95,10.326,10.108428,19914872
16-03-2022,10.64,11.146,10.572,11.07,10.836751,26979208
17-03-2022,11.11,11.308,10.662,10.898,10.668375,17264569
18-03-2022,10.91,11.05,10.746,11.024,10.79172,23661795
21-03-2022,11.076,11.288,11.03,11.078,10.844583,13500809
22-03-2022,11.2,11.708,11.176,11.7,11.453477,17889007
23-03-2022,11.8,11.866,11.516,11.594,11.34971,12200569
24-03-2022,11.57,11.666,11.454,11.54,11.296848,10071605
25-03-2022,11.562,11.798,11.458,11.658,11.412362,10869740
28-03-2022,11.648,11.972,11.602,11.662,11.416277,9880630
29-03-2022,11.842,12.114,11.538,11.968,11.71583,19418742
30-03-2022,11.88,11.926,11.566,11.634,11.388867,10276916
31-03-2022,11.82,11.94,11.48,11.51,11.26748,14294463
01-04-2022,11.65,11.996,11.614,11.822,11.572906,12007818
04-04-2022,11.814,11.95,11.622,11.806,11.557243,8008604
05-04-2022,11.818,11.972,11.674,11.766,11.518085,10328318
06-04-2022,11.74,11.932,11.244,11.394,11.153924,14708099
07-04-2022,11.44,11.744,11.382,11.4,11.159798,10017346
08-04-2022,11.652,11.948,11.622,11.844,11.594442,10219736
11-04-2022,11.83,12.042,11.776,11.924,11.672757,9319572
12-04-2022,10.96,11.058,10.638,10.808,10.580271,34888236
13-04-2022,10.838,10.896,10.616,10.896,10.666417,14699189
14-04-2022,10.98,11,10.838,10.976,10.744732,14362799
19-04-2022,10.958,11.094,10.842,11.002,10.770184,11152850
20-04-2022,11.01,11.314,11.01,11.218,10.981633,13929821
