Date,Open,High,Low,Close,Adj Close,Volume
04-01-2010,38.635372,39.432858,38.608273,39.339947,32.481987,101516
05-01-2010,39.231548,40.315506,39.208321,40.098717,33.108479,115482
06-01-2010,39.87418,40.121944,38.921848,39.548992,32.654583,53183
07-01-2010,39.270264,39.990318,39.123154,39.967091,32.999798,61559
08-01-2010,40.524555,41.407207,40.524555,40.996853,33.850048,196091
11-01-2010,41.422691,41.6782,40.516815,40.687149,33.594334,117736
12-01-2010,40.454872,40.47036,39.339947,39.525764,32.635406,111309
13-01-2010,38.728283,39.355431,38.596661,39.270264,32.424446,190709
14-01-2010,39.680618,39.680618,38.937332,39.130898,32.309383,64496
15-01-2010,39.254776,39.394142,37.373337,37.706264,31.133093,266041
18-01-2010,37.938541,38.050808,37.264938,38.004353,31.379219,120584
19-01-2010,37.861115,38.325668,37.032661,38.255985,31.586981,107173
20-01-2010,37.791431,38.275345,37.172028,37.613354,31.056383,53479
21-01-2010,37.830147,37.849503,36.064842,36.451969,30.097456,260304
22-01-2010,35.615772,35.615772,33.718845,34.531815,28.512032,787456
25-01-2010,34.647953,35.766754,34.539558,35.135735,29.010672,222010
26-01-2010,34.338249,34.717636,33.908539,34.609241,28.575958,193996
27-01-2010,33.989838,34.195015,33.374302,33.8195,27.923891,176530
28-01-2010,34.841518,35.251873,33.834984,34.307281,28.326643,179376
29-01-2010,34.067261,35.124123,34.00145,34.361481,28.371391,91954
01-02-2010,34.415676,35.588676,34.144688,35.333172,29.173691,111119
02-02-2010,35.538349,36.54488,35.3022,36.405514,30.059099,130290
03-02-2010,36.413258,36.413258,35.391239,35.708683,29.483736,186965
04-02-2010,34.841518,36.134525,33.881439,33.920155,28.006996,263482
05-02-2010,33.811756,34.729252,32.805225,33.037502,27.278217,305449
08-02-2010,33.935638,34.202759,32.987175,33.091698,27.322966,150729
09-02-2010,33.37043,35.166706,33.258163,35.097023,28.978712,198199
10-02-2010,34.988625,35.731911,34.806675,35.495766,29.307945,104422
11-02-2010,35.646744,35.751266,34.14856,34.934429,28.844458,103969
12-02-2010,34.694408,34.957657,33.718845,34.113716,28.166819,102529
15-02-2010,34.152431,34.415676,34.020805,34.268566,28.294674,21219
16-02-2010,35.042824,35.608032,34.791191,35.577061,29.375065,153903
17-02-2010,36.157753,36.757801,35.925476,35.971931,29.701099,192362
18-02-2010,35.879021,37.048145,35.731911,36.707474,30.308418,176524
19-02-2010,35.809338,37.129444,35.770626,36.962978,30.519382,181334
22-02-2010,37.055889,37.280422,36.730701,36.99395,30.544954,71768
23-02-2010,37.086861,37.226227,35.460922,35.534477,29.339905,110615
24-02-2010,35.615772,36.23518,35.418339,36.196465,29.88649,58436
25-02-2010,35.546089,36.324219,35.081535,35.561577,29.362282,59286
26-02-2010,35.623516,36.196465,35.561577,36.072586,29.784203,53974
01-03-2010,36.630051,36.904911,36.246792,36.746185,30.340384,48635
02-03-2010,36.777157,37.369465,36.479069,37.024921,30.570526,66054
03-03-2010,36.893295,37.90757,36.81974,37.690781,31.120308,93352
04-03-2010,37.481731,38.890877,37.473988,38.410839,31.71484,162505
05-03-2010,38.596661,39.394142,38.50375,39.239292,32.398872,180799
08-03-2010,39.479313,39.688358,39.239292,39.487053,32.603447,155133
09-03-2010,39.316715,39.889668,38.828938,39.889668,32.935875,141383
10-03-2010,39.641907,40.338734,39.502541,39.967091,32.999798,151918
11-03-2010,39.897408,40.571011,39.897408,40.276794,33.255512,115769
12-03-2010,40.571011,41.662712,40.547783,40.741348,33.639088,288532
15-03-2010,40.571011,41.058792,40.114201,40.679409,33.587944,118158
16-03-2010,40.687149,41.802078,40.687149,41.763367,34.482937,180591
17-03-2010,42.034355,42.498909,42.034355,42.367287,34.981583,162847
18-03-2010,41.972416,42.328571,41.747883,41.809822,34.521297,125435
19-03-2010,41.964672,42.553108,41.631741,41.794334,34.508511,167288
22-03-2010,41.391724,41.964672,40.849743,41.871761,34.572437,167949
23-03-2010,41.709167,42.375027,41.68594,42.243404,34.879292,77084
24-03-2010,42.375027,42.947979,41.964672,42.622791,35.192543,189337
25-03-2010,42.73893,44.457775,42.676987,44.070648,36.388,268310
26-03-2010,44.070648,45.053955,44.070648,44.775223,36.969757,198026
29-03-2010,44.984272,45.208805,44.24873,44.581657,36.809929,124788
30-03-2010,45.239777,45.750786,44.55843,44.906845,37.078426,133340
31-03-2010,44.682312,44.829418,43.474472,44.210014,36.503075,97162
01-04-2010,44.295181,44.945557,44.279697,44.71328,36.918606,83366
06-04-2010,45.10041,45.30946,44.357124,44.992012,37.148746,81150
07-04-2010,44.891361,44.914589,44.140331,44.457775,36.707642,70258
08-04-2010,43.977737,44.132587,42.855068,44.132587,36.439144,152933
09-04-2010,44.132587,44.992012,44.000965,44.79845,36.988934,63878
12-04-2010,45.332687,45.774014,44.999756,45.022984,37.174324,101459
13-04-2010,44.790707,45.069439,44.481003,44.868134,37.046463,43388
14-04-2010,45.0075,46.37019,44.813934,46.052746,38.024563,153185
15-04-2010,46.261791,46.842484,45.797241,46.710861,38.567959,165701
16-04-2010,46.184368,46.385674,42.622791,42.963463,35.473831,663196
19-04-2010,42.351803,43.172512,41.469151,41.500118,34.265579,499387
20-04-2010,42.855068,43.466728,42.661503,43.234451,35.697571,147019
21-04-2010,43.358334,43.389305,42.553108,42.89378,35.41629,88314
22-04-2010,42.390514,42.816353,41.476891,41.840794,34.546867,153450
23-04-2010,41.500118,41.879505,40.919426,41.693684,34.425404,121102
26-04-2010,42.119522,43.009918,41.856277,42.971207,35.480225,179022
27-04-2010,43.358334,43.513184,40.423904,40.919426,33.786118,327907
28-04-2010,40.261311,41.236874,39.247032,40.516815,33.453693,295807
29-04-2010,40.880714,41.809822,40.400677,41.809822,34.521297,105182
30-04-2010,41.809822,42.080811,39.533508,40.036774,33.057335,142835
03-05-2010,40.377449,40.911682,39.889668,40.911682,33.779732,86998
04-05-2010,40.493587,40.725864,38.906361,39.401886,32.533123,171627
05-05-2010,38.875389,39.084438,37.357849,38.759254,32.002522,346784
06-05-2010,37.861115,38.759254,36.436485,36.583595,30.206131,315053
07-05-2010,35.770626,37.350105,34.872486,36.037743,29.755442,404531
10-05-2010,38.790222,40.416161,38.008224,39.370914,32.507561,396321
11-05-2010,39.022499,39.850952,38.364384,39.796757,32.859161,179524
12-05-2010,39.084438,40.694893,38.852165,39.943867,32.980625,108253
13-05-2010,39.951607,40.137428,39.216064,39.285748,32.437229,59683
14-05-2010,38.991531,39.084438,37.272682,37.628838,31.069164,192070
17-05-2010,37.504959,39.11541,37.288166,37.791431,31.203411,169874
18-05-2010,38.937332,39.061214,38.217274,38.705055,31.957766,205315
19-05-2010,37.861115,38.317928,37.249454,37.690781,31.120308,122600
20-05-2010,37.938541,38.151463,35.855793,36.668762,30.276447,259472
21-05-2010,36.932011,37.427532,35.755138,37.172028,30.691996,224864
24-05-2010,37.706264,37.814659,36.386158,36.699734,30.302029,40105
25-05-2010,35.577061,36.188725,35.081535,35.917732,29.656345,168532
26-05-2010,37.125572,37.125572,36.231308,36.730701,30.327597,116467
27-05-2010,36.932011,38.705055,36.421001,38.619888,31.887449,168781
28-05-2010,38.674084,38.674084,37.288166,37.350105,31.309795,99394
31-05-2010,37.466244,37.795303,37.435276,37.590126,31.511005,48539
