Date,Open,High,Low,Close,Adj Close,Volume
21-01-2022,12.98,13.03,12.81,12.81,12.541118,5838000
24-01-2022,12.29,12.45,11.95,12.43,12.169094,6630400
25-01-2022,12.36,12.68,12.18,12.59,12.325735,4586500
26-01-2022,12.94,13.31,12.79,12.94,12.668388,6210700
27-01-2022,13.37,13.42,13,13.18,12.903351,5775700
28-01-2022,13.3,13.49,13.18,13.49,13.206843,4303100
31-01-2022,13.72,13.91,13.68,13.89,13.598448,4053600
01-02-2022,14.04,14.4,14,14.39,14.087954,4878100
02-02-2022,14.47,14.51,14.27,14.41,14.107533,4368000
03-02-2022,15.04,15.28,14.93,15.12,14.80263,9375500
04-02-2022,15.37,15.89,15.35,15.75,15.419406,8195800
07-02-2022,15.51,15.75,15.45,15.66,15.331295,7064700
08-02-2022,16.309999,16.469999,16.030001,16.42,16.075342,9712400
09-02-2022,16.26,16.540001,16.23,16.389999,16.045973,5760200
10-02-2022,16.450001,16.700001,16.370001,16.5,16.153664,5966800
11-02-2022,16.139999,16.41,15.54,15.7,15.370456,9589100
14-02-2022,15.76,15.83,15.45,15.63,15.301926,7438700
15-02-2022,15.77,16,15.75,15.95,15.615208,4136300
16-02-2022,15.68,15.89,15.67,15.77,15.438987,3350000
17-02-2022,15.6,15.65,15.35,15.45,15.125703,3349300
18-02-2022,15.44,15.54,15.26,15.31,14.988643,4607100
22-02-2022,14.87,15.16,14.66,14.86,14.548087,8492900
23-02-2022,14.63,14.77,14.29,14.36,14.058582,6281000
24-02-2022,12.7,12.97,12.27,12.77,12.501957,22927100
25-02-2022,13.43,13.47,13.26,13.44,13.157893,9151000
28-02-2022,12.32,12.73,12.32,12.43,12.169094,10572700
01-03-2022,11.92,11.99,11.27,11.36,11.121552,13201000
02-03-2022,11.51,11.78,11.35,11.6,11.356516,9863400
03-03-2022,11.6,11.62,11.09,11.17,10.935541,8341300
04-03-2022,10.27,10.3,9.85,9.98,9.770518,14436500
07-03-2022,9.94,10.08,9.46,9.53,9.329965,12196100
08-03-2022,10.37,10.64,9.88,10.23,10.015271,17509800
